results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
10.12,+1.3,Churandy MARTINA,84,NED,F,7,Paris (FRA),04.07,1165
10.12,-1.2,James DASAOLU,87,GBR,H2,5,"Olympic Stadium, London (GBR)",24.07,1172
10.13,+1.5,James DASAOLU,87,GBR,F,6,"Hayward Field, Eugene, OR (USA)",30.05,1162
10.13,-1.7,Keston BLEDMAN,88,TTO,F,2,"Icahn Stadium, New York, NY (USA)",13.06,1172
10.14,+0.9,James DASAOLU,87,GBR,F,8,"Suhaim bin Hamad Stadium, Doha (QAT)",15.05,1159
10.14,+0.9,Andrew FISHER,91,JAM,F1,8,"Stadio Olimpico, Roma (ITA)",04.06,1159
10.15,+2.0,Julian FORTE,93,JAM,F,7,"Alexander Stadium, Birmingham (GBR)",07.06,1155
10.15,-1.7,Nesta CARTER,85,JAM,F,3,"Icahn Stadium, New York, NY (USA)",13.06,1165
10.15,-1.2,Trell KIMMONS,85,USA,H2,6,"Olympic Stadium, London (GBR)",24.07,1162
10.17,+1.0,Kim COLLINS,76,SKN,H2,5,"Alexander Stadium, Birmingham (GBR)",07.06,1148
10.17,-0.3,Emmanuel BIRON,88,FRA,F,7,"Stade Louis II, Monaco (MON)",17.07,1149
10.18,-1.7,Akani SIMBINE,93,RSA,F,4,"Icahn Stadium, New York, NY (USA)",13.06,1155
10.18,+1.3,Emmanuel BIRON,88,FRA,F,8,Paris (FRA),04.07,1145
10.18,-0.4,Akani SIMBINE,93,RSA,F,7,"Boudewijnstadion, Bruxelles (BEL)",11.09,1147
10.19,-0.3,Kemar HYMAN,89,CAY,F2,3,"Stadio Olimpico, Roma (ITA)",04.06,1143
10.19,+1.9,Kemar HYMAN,89,CAY,H1,6,"Alexander Stadium, Birmingham (GBR)",07.06,1142
10.19,-0.8,James DASAOLU,87,GBR,F,9,"Olympic Stadium, London (GBR)",24.07,1146
10.19,-0.4,Chijindu UJAH,94,GBR,F,8,"Boudewijnstadion, Bruxelles (BEL)",11.09,1144
10.23,-1.2,Andrew ROBERTSON,90,GBR,H2,7,"Olympic Stadium, London (GBR)",24.07,1135
