results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
10.22,-0.3,Michael RODGERS,85,USA,H2,3.0,"Crystal Palace, London (GBR)",13.08,1133
10.23,-2.0,Trell KIMMONS,85,USA,H2,3.0,"International Stadium, Gateshead (GBR)",10.07,1140
10.23,-1.7,Jaysuma SAIDY NDURE,84,NOR,F,5.0,"International Stadium, Gateshead (GBR)",10.07,1138
10.23,-0.1,Mario FORSYTHE,85,JAM,H2,3.0,"Olympiastadion, Stockholm (SWE)",6.08,1128
10.24,1.2,Mark LEWIS-FRANCIS,82,GBR,H2,6.0,"Bislett Stadion, Oslo (NOR)",4.06,1125
10.24,0.5,Leroy DIXON,83,USA,F,5.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",8.07,1125
10.24,-2.0,Ryan BAILEY,89,USA,H2,4.0,"International Stadium, Gateshead (GBR)",10.07,1137
10.24,-1.7,Ryan BAILEY,89,USA,F,6.0,"International Stadium, Gateshead (GBR)",10.07,1135
10.24,0.6,Rytis SAKALAUSKAS,87,LTU,F,2.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1125
10.25,0.6,Mario FORSYTHE,85,JAM,F,6.0,"Stadio Olimpico, Roma (ITA)",10.06,1122
10.25,-0.4,Trell KIMMONS,85,USA,H1,4.0,"Crystal Palace, London (GBR)",13.08,1124
10.25,-0.3,Wallace SPEARMON,84,USA,H2,4.0,"Crystal Palace, London (GBR)",13.08,1123
10.25,0.6,Emanuele DI GREGORIO,80,ITA,F,3.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1122
10.26,1.4,J-Mee SAMUELS,87,USA,F2,4.0,"Icahn Stadium, New York, NY (USA)",12.06,1118
10.26,-0.8,Marlon DEVONISH,76,GBR,F2,4.0,"Letzigrund, Zürich (SUI)",19.08,1122
10.26,0.1,Martial MBANDJOCK,85,FRA,F,9.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1118
10.27,-0.3,Travis PADGETT,86,USA,H2,5.0,"Crystal Palace, London (GBR)",13.08,1116
10.27,-0.4,Trell KIMMONS,85,USA,F,6.0,"Crystal Palace, London (GBR)",13.08,1117
10.28,-1.6,Michael FRATER,82,JAM,H1,3.0,"International Stadium, Gateshead (GBR)",10.07,1121
10.28,-0.4,Mario FORSYTHE,85,JAM,H1,5.0,"Crystal Palace, London (GBR)",13.08,1114
10.29,0.6,Simone COLLIO,79,ITA,F,7.0,"Stadio Olimpico, Roma (ITA)",10.06,1108
