,Unnamed: 0,results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
39,39,10.07,0.8,Michael RODGERS,85,USA,F,4.0,"Alexander Stadium, Birmingham (GBR)",30.06,1182
40,40,10.07,-0.4,Michael RODGERS,85,USA,F,4.0,"Stade Louis II, Monaco (MON)",19.07,1184
41,41,10.07,-0.3,Walter DIX,86,USA,F,9.0,"Letzigrund, Zürich (SUI)",29.08,1183
42,42,10.07,0.6,Kim COLLINS,76,SKN,F,7.0,"Boudewijnstadion, Bruxelles (BEL)",6.09,1182
43,43,10.08,1.2,Samuel FRANCIS,87,QAT,F,5.0,"Suhaim bin Hamad Stadium, Doha (QAT)",10.05,1179
44,44,10.08,0.8,Rakieem SALAAM,90,USA,F1,6.0,"Stadio Olimpico, Roma (ITA)",6.06,1179
45,45,10.08,-0.4,Kim COLLINS,76,SKN,F,5.0,"Stade Louis II, Monaco (MON)",19.07,1181
46,46,10.1,0.8,Jimmy VICAUT,92,FRA,F,5.0,"Alexander Stadium, Birmingham (GBR)",30.06,1172
47,47,10.1,-0.4,Kemar BAILEY-COLE,92,JAM,F,6.0,"Stade Louis II, Monaco (MON)",19.07,1174
48,48,10.1,0.2,Dwain CHAMBERS,78,GBR,F1,5.0,"Olympic Stadium, London (GBR)",26.07,1172
49,49,10.11,2.0,Jimmy VICAUT,92,FRA,F,5.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",4.07,1169
50,50,10.13,0.1,Jaysuma SAIDY NDURE,84,NOR,F2,1.0,"Stadio Olimpico, Roma (ITA)",6.06,1162
51,51,10.13,-0.4,Kim COLLINS,76,SKN,H1,1.0,"Alexander Stadium, Birmingham (GBR)",30.06,1164
52,52,10.13,-1.3,Michael RODGERS,85,USA,H2,2.0,"Alexander Stadium, Birmingham (GBR)",30.06,1169
53,53,10.13,-0.4,Nickel ASHMEADE,90,JAM,F,7.0,"Stade Louis II, Monaco (MON)",19.07,1164
54,54,10.14,1.2,Derrick ATKINS,84,BAH,F,6.0,"Suhaim bin Hamad Stadium, Doha (QAT)",10.05,1159
55,55,10.14,2.0,Richard THOMPSON,85,TTO,F,6.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",4.07,1159
56,56,10.14,0.2,Rakieem SALAAM,90,USA,F1,6.0,"Olympic Stadium, London (GBR)",26.07,1159
57,57,10.15,-0.8,Ryan BAILEY,89,USA,F,1.0,"Icahn Stadium, New York, NY (USA)",25.05,1159
58,58,10.15,0.6,James DASAOLU,87,GBR,F,8.0,"Boudewijnstadion, Bruxelles (BEL)",6.09,1155
59,59,10.16,-0.8,Keston BLEDMAN,88,TTO,F,2.0,"Icahn Stadium, New York, NY (USA)",25.05,1156
60,60,10.16,0.3,Adam GEMILI,93,GBR,F2,1.0,"Olympic Stadium, London (GBR)",26.07,1152
61,61,10.16,0.3,Harry AIKINES-ARYEETEY,88,GBR,F2,2.0,"Olympic Stadium, London (GBR)",26.07,1152
62,62,10.17,1.2,Jak Ali HARVEY,89,JAM,F,7.0,"Suhaim bin Hamad Stadium, Doha (QAT)",10.05,1148
63,63,10.17,0.8,James ELLINGTON,85,GBR,F,6.0,"Alexander Stadium, Birmingham (GBR)",30.06,1148
64,64,10.17,0.8,Kimmari ROACH,89,JAM,F,7.0,"Alexander Stadium, Birmingham (GBR)",30.06,1148
65,65,10.19,0.6,Keston BLEDMAN,88,TTO,F,9.0,"Boudewijnstadion, Bruxelles (BEL)",6.09,1142
66,66,10.2,-0.1,Nickel ASHMEADE,90,JAM,SF2,1.0,"Icahn Stadium, New York, NY (USA)",25.05,1138
67,67,10.2,-0.4,Charles SILMON,91,USA,F,8.0,"Stade Louis II, Monaco (MON)",19.07,1140
68,68,10.21,1.2,Jason YOUNG,91,JAM,F,8.0,"Suhaim bin Hamad Stadium, Doha (QAT)",10.05,1135
69,69,10.21,0.1,Jak Ali HARVEY,89,JAM,F2,2.0,"Stadio Olimpico, Roma (ITA)",6.06,1135
70,70,10.21,0.3,Mark LEWIS-FRANCIS,82,GBR,F2,3.0,"Olympic Stadium, London (GBR)",26.07,1135
71,71,10.22,-1.3,Jimmy VICAUT,92,FRA,H2,3.0,"Alexander Stadium, Birmingham (GBR)",30.06,1139
72,72,10.23,-0.4,Kimmari ROACH,89,JAM,H1,2.0,"Alexander Stadium, Birmingham (GBR)",30.06,1130
73,73,10.23,0.2,Christophe LEMAITRE,90,FRA,F1,7.0,"Olympic Stadium, London (GBR)",26.07,1128
74,74,10.24,-0.8,Nesta CARTER,85,JAM,F,3.0,"Icahn Stadium, New York, NY (USA)",25.05,1129
75,75,10.26,-0.4,Nesta CARTER,85,JAM,H1,3.0,"Alexander Stadium, Birmingham (GBR)",30.06,1120
76,76,10.26,0.8,Julian FORTE,93,JAM,F,8.0,"Alexander Stadium, Birmingham (GBR)",30.06,1118
77,77,10.27,-1.3,Julian FORTE,93,JAM,H2,4.0,"Alexander Stadium, Birmingham (GBR)",30.06,1122
78,78,10.28,-0.1,Ryan BAILEY,89,USA,SF2,2.0,"Icahn Stadium, New York, NY (USA)",25.05,1112
79,79,10.29,-0.1,Keston BLEDMAN,88,TTO,SF2,3.0,"Icahn Stadium, New York, NY (USA)",25.05,1108
80,80,10.29,-0.1,Nesta CARTER,85,JAM,SF2,4.0,"Icahn Stadium, New York, NY (USA)",25.05,1108
81,81,10.29,-0.8,Jak Ali HARVEY,89,JAM,F,4.0,"Icahn Stadium, New York, NY (USA)",25.05,1112
82,82,10.29,0.8,Calesio NEWMAN,86,USA,F1,7.0,"Stadio Olimpico, Roma (ITA)",6.06,1108
83,83,10.29,0.8,Michael TUMI,90,ITA,F1,8.0,"Stadio Olimpico, Roma (ITA)",6.06,1108
84,84,10.29,-0.4,James ELLINGTON,85,GBR,H1,4.0,"Alexander Stadium, Birmingham (GBR)",30.06,1110
85,85,10.3,0.1,Kemar HYMAN,89,CAY,F2,3.0,"Stadio Olimpico, Roma (ITA)",6.06,1105
86,86,10.3,0.3,Deji TOBAIS,91,GBR,F2,4.0,"Olympic Stadium, London (GBR)",26.07,1105
87,87,10.31,-0.8,Nickel ASHMEADE,90,JAM,F,5.0,"Icahn Stadium, New York, NY (USA)",25.05,1106
88,88,10.31,1.7,Reto Amaru SCHENKEL,88,SUI,F,2.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",4.07,1102
89,89,10.31,0.3,Josh SWARAY,86,GBR,F2,5.0,"Olympic Stadium, London (GBR)",26.07,1102
90,90,10.32,0.1,James ELLINGTON,85,GBR,F2,4.0,"Stadio Olimpico, Roma (ITA)",6.06,1099
91,91,10.32,-0.4,Keston BLEDMAN,88,TTO,H1,5.0,"Alexander Stadium, Birmingham (GBR)",30.06,1101
92,92,10.32,-1.3,Calesio NEWMAN,86,USA,H2,5.0,"Alexander Stadium, Birmingham (GBR)",30.06,1106
93,93,10.33,-0.8,Kemar BAILEY-COLE,92,JAM,F,6.0,"Icahn Stadium, New York, NY (USA)",25.05,1099
94,94,10.33,0.3,Joel FEARON,88,GBR,F2,6.0,"Olympic Stadium, London (GBR)",26.07,1095
95,95,10.34,-1.3,Joel FEARON,88,GBR,H2,6.0,"Alexander Stadium, Birmingham (GBR)",30.06,1099
96,96,10.35,0.1,Keith RICKS,90,USA,F2,5.0,"Stadio Olimpico, Roma (ITA)",6.06,1089
97,97,10.35,-1.3,Isiah YOUNG,90,USA,H2,7.0,"Alexander Stadium, Birmingham (GBR)",30.06,1096
98,98,10.35,0.3,Andrew ROBERTSON,90,GBR,F2,7.0,"Olympic Stadium, London (GBR)",26.07,1089
99,99,10.37,-0.1,Jak Ali HARVEY,89,JAM,SF2,5.0,"Icahn Stadium, New York, NY (USA)",25.05,1082
100,100,10.37,0.1,Jacques RIPARELLI,83,ITA,F2,6.0,"Stadio Olimpico, Roma (ITA)",6.06,1082
101,101,10.37,0.1,Simone COLLIO,79,ITA,F2,7.0,"Stadio Olimpico, Roma (ITA)",6.06,1082
102,102,10.37,-0.4,Mark LEWIS-FRANCIS,82,GBR,H1,6.0,"Alexander Stadium, Birmingham (GBR)",30.06,1084
103,103,10.38,-0.4,Gabriel MVUMVURE,88,ZIM,H1,7.0,"Alexander Stadium, Birmingham (GBR)",30.06,1081
104,104,10.38,-1.3,Harry AIKINES-ARYEETEY,88,GBR,H2,8.0,"Alexander Stadium, Birmingham (GBR)",30.06,1086
105,105,10.39,0.1,Harry AIKINES-ARYEETEY,88,GBR,F2,8.0,"Stadio Olimpico, Roma (ITA)",6.06,1076
106,106,10.4,-0.4,Cameron BURRELL,94,USA,F,1.0,"Icahn Stadium, New York, NY (USA)",25.05,1074
107,107,10.4,0.8,Samuel FRANCIS,87,QAT,F1,9.0,"Stadio Olimpico, Roma (ITA)",6.06,1072
108,108,10.41,0.1,Fabio CERUTTI,85,ITA,F2,9.0,"Stadio Olimpico, Roma (ITA)",6.06,1069
109,109,10.41,1.7,Titus Kafunda MUKHALA,93,ZAM,F,3.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",4.07,1069
110,110,10.43,0.3,Greg CACKETT,89,GBR,F2,8.0,"Olympic Stadium, London (GBR)",26.07,1063
111,111,10.46,1.0,Kemar BAILEY-COLE,92,JAM,SF1,1.0,"Icahn Stadium, New York, NY (USA)",25.05,1053
112,112,10.5,-0.8,Rakieem SALAAM,90,USA,F,7.0,"Icahn Stadium, New York, NY (USA)",25.05,1044
